note_id,report_month,fee,impression,click,message_consult,msg_leads_num,ctr_derived,cpc_derived,cpm_derived,msg_leads_cost_derived
63ad6640000000001f00edf4,M2026-04,0.0,8.0,0.0,0.0,0.0,0.0,,0.0,
641507a20000000014024e97,M2026-04,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,
646dae200000000013032917,M2026-04,2.16,13.0,2.0,0.0,0.0,0.153846,1.08,166.153846,
649a3a030000000013034ef6,M2026-04,0.22,7.0,2.0,0.0,0.0,0.285714,0.11,31.428571,
64ba580c0000000012019fd1,M2026-04,0.01,7.0,1.0,0.0,0.0,0.142857,0.01,1.428571,
64da154d000000000301efcc,M2026-04,0.39,3.0,1.0,0.0,0.0,0.333333,0.39,130.0,
64db4e87000000001701a578,M2026-04,0.8700000000000001,36.0,3.0,0.0,0.0,0.083333,0.29,24.166667,
64edc437000000001e03fdad,M2026-04,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,
65080ae0000000001e020f0f,M2026-04,0.0,22.0,0.0,0.0,0.0,0.0,,0.0,
650e8d36000000001e0210a9,M2026-04,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,
6572c65f000000000901e49a,M2026-04,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,
6585320c0000000006023fa7,M2026-04,0.0,11.0,0.0,0.0,0.0,0.0,,0.0,
658690ba000000003a00cb78,M2026-04,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,
658693750000000038025102,M2026-04,0.48,24.0,3.0,1.0,1.0,0.125,0.16,20.0,0.48
65a38ba90000000011030b82,M2026-04,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,
65a8dd4a000000002b007f20,M2026-04,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,
65b8ab80000000002c0383b7,M2026-04,4.6,3.0,1.0,0.0,0.0,0.333333,4.6,1533.333333,
65bc4808000000002c02ab23,M2026-04,15.87,138.0,18.0,0.0,0.0,0.130435,0.881667,115.0,
65bc4b64000000002c02b6a4,M2026-04,0.27,10.0,1.0,0.0,0.0,0.1,0.27,27.0,
65bc63b1000000002c03deec,M2026-04,0.0,9.0,0.0,0.0,0.0,0.0,,0.0,
65bc68d7000000002c010735,M2026-04,0.0,19.0,0.0,0.0,0.0,0.0,,0.0,
65d5ad59000000000102854b,M2026-04,4.17,72.0,11.0,0.0,0.0,0.152778,0.379091,57.916667,
65d7063c00000000070240c2,M2026-04,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,
65d86297000000000b022d6e,M2026-04,0.05,21.0,2.0,0.0,0.0,0.095238,0.025,2.380952,
65e1b5a8000000000102af89,M2026-04,1.04,67.0,9.0,1.0,1.0,0.134328,0.115556,15.522388,1.04
65e588e20000000001028416,M2026-04,17.33,244.0,41.0,0.0,1.0,0.168033,0.422683,71.02459,17.33
65ed67840000000012022c45,M2026-04,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,
65f2aeb80000000012022078,M2026-04,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,
65f41358000000000d00cdcb,M2026-04,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,
6614ef3c000000001a0160a4,M2026-04,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,
66163edc000000001a016bc9,M2026-04,0.76,24.0,3.0,0.0,0.0,0.125,0.253333,31.666667,
661799dc000000001a017ad7,M2026-04,0.0,8.0,0.0,0.0,0.0,0.0,,0.0,
66446bc1000000001e0388b0,M2026-04,0.01,21.0,1.0,0.0,0.0,0.047619,0.01,0.47619,
6645bbb8000000001e037400,M2026-04,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,
66470da5000000001401840d,M2026-04,29.79,572.0,79.0,1.0,1.0,0.138112,0.377089,52.08042,29.79
66504a020000000005004c87,M2026-04,16.05,326.0,55.0,0.0,0.0,0.168712,0.291818,49.233129,
6669558b000000000d00fcef,M2026-04,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,
666bf7ab000000000d00d89e,M2026-04,0.24,29.0,1.0,0.0,0.0,0.034483,0.24,8.275862,
66b1de10000000001e01c1ec,M2026-04,2.86,115.0,12.0,0.0,0.0,0.104348,0.238333,24.869565,
66c45b75000000001d0147d8,M2026-04,9.790000000000001,384.0,57.0,0.0,0.0,0.148438,0.171754,25.494792,
66d6b5e7000000001d014294,M2026-04,0.0,7.0,0.0,0.0,0.0,0.0,,0.0,
66fcf98f000000001a0211be,M2026-04,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,
6704f6cf000000001902c0b1,M2026-04,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,
671b4fb80000000021000b4e,M2026-04,2.93,165.0,33.0,0.0,0.0,0.2,0.088788,17.757576,
67330eb40000000019017f65,M2026-04,0.34,9.0,1.0,0.0,0.0,0.111111,0.34,37.777778,
67331226000000001b0107e2,M2026-04,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,
674aeb280000000008004264,M2026-04,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,
676280e1000000000b017da5,M2026-04,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,
676d29d10000000013001dcb,M2026-04,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,
67ad9eaf000000002802b30b,M2026-04,0.02,37.0,2.0,0.0,0.0,0.054054,0.01,0.540541,
67b2e2a4000000001902eba3,M2026-04,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,
67ce62cf00000000290364e9,M2026-04,0.24,1.0,1.0,0.0,0.0,1.0,0.24,240.0,
67ce6411000000002902de45,M2026-04,1.06,55.0,7.0,0.0,0.0,0.127273,0.151429,19.272727,
